access,defibrillator:location,defibrillator:location:pl,description,emergency,indoor,latitude,location,longitude,note,note:pl,opening_hours,osm_id,phone,wikimedia_commons
,przy sklepie z pamiątkami,,,defibrillator,yes,52.412337,,16.9514012,,,,9081670920,,
,,,,defibrillator,,50.7772168,,15.7237797,,,,9088486602,,
yes,na elewacji budynku,,,defibrillator,no,50.3450594,,19.0886882,,,,9091442233,,
,filar przy windzie obok głównego wejścia,,,defibrillator,yes,54.3709009,,18.6130391,,,,9098387181,,
,ściana przy głównym wejściu do Urzędu Miejskiego w Łowiczu,,,defibrillator,no,52.1081329,,19.9450275,,,24/7,9101929296,,
,,,,defibrillator,yes,53.1264839,,18.013435,,,,9103908455,,
yes,Centrum Medyczne Medyk,,,defibrillator,yes,50.0185278,,21.9721935,,,Mo-Fr 07:00-18:00,9113127661,,
,,,,defibrillator,yes,50.8121673,,19.119335,,,,9166027717,,
,przy wejściu do szkoły,,,defibrillator,no,51.9892419,,17.0595013,,,,9176919323,,
yes,,,,defibrillator,yes,50.8747893,,20.6329602,,,24/7,9177124291,,
,Trawnik w pobliżu schodków pomiędzy pomostem i wiatą rowerową,,zamknięty w szafce typu SmartCase,defibrillator,no,53.856679,,22.9722288,,,,9191176653,,
,,,,defibrillator,yes,50.0126835,,18.4796892,,,24/7,9204545318,,
,Na scianie budynku,,,defibrillator,,50.1205196,,19.6131835,,,,9233385124,,
,,,,defibrillator,yes,49.2013562,,20.0712319,,,,9266835810,,
,W portierni,,,defibrillator,yes,51.2503396,,22.55349,,,,9267985601,,
,,,,defibrillator,,51.2311865,,22.6124893,,,,9268024257,,
,,,,defibrillator,,51.4118996,,22.8551157,,,,9268050385,,
,,,,defibrillator,,51.4574652,,22.585516,,,,9268050386,,
,,,,defibrillator,,51.4505039,,22.42199,,,24/7,9268050387,,
yes,,,,defibrillator,,51.6167999,,22.4575328,,,,9280177340,,
,Respirator jest umieszczony na zewnątrz budynku STRAŻY,,,defibrillator,no,50.1324856,,19.5866686,,,,9316178939,,
,Toyota,,,defibrillator,yes,50.807554,,16.3218102,,,,9327005650,,
yes,Po prawej stronie wejścia głównego do szkoły (od strony ul. Śniadeckich),,,defibrillator,,53.1643177,,16.7499956,,,24/7,9328104387,,
private,Budynek Dyspozytorni (za szlabanem po prawej stronie),,,defibrillator,yes,53.163586,,16.752128,,,24/7,9328104388,,
private,Budynek Głównej Hali Warsztatowej - Pomieszczenie Mistrzów Produkcji,,,defibrillator,yes,53.1633384,,16.7598903,,,Mo-Fr 07:00-15:00,9328104389,,
customers,Punkt Obsługi Klienta (ściana naprzeciw POK),,,defibrillator,yes,53.162232,,16.7554995,,,Mo-Fr 07:00-16:00,9328104390,,
customers,Punkt ochrony (parter),,,defibrillator,yes,53.1572803,,16.7511973,,,Mo-Fr 07:30-15:30,9328104391,,
private,wewnątrz budynku,,,defibrillator,yes,53.1534861,,16.7522862,,,,9328104392,,
private,Punkt ochrony (przy wejściu głównym),,,defibrillator,yes,53.1565726,,16.7637527,,,,9328104393,,
private,Hala sportowa,,,defibrillator,yes,53.1557331,,16.7644179,,,,9328104394,,
customers,Punkt medyczny na nowej i starej hali basenowej,,,defibrillator,yes,53.1596155,,16.7700613,,,Mo-Su 07:00-22:00,9328104395,,
customers,wewnątrz budynku,,,defibrillator,yes,53.162626,,16.7718691,,,Mo-Fr 07:30-15:30,9328104396,,
customers,Plebania Kościoła Rzymskokatolickiego,,,defibrillator,yes,53.1751995,,16.7528683,,,Mo-Fr 09:00-17:00; Sa 09:00-17:00; Su 08:00-18:30,9328104397,,
private,Budynek Elektrociepłwoni Koszyce - Hala kotłów,,,defibrillator,yes,53.1723394,,16.7628515,,,24/7,9328104398,,
private,Przychodnia ENEL-MED.,,,defibrillator,yes,53.1695001,,16.774452,,,Mo-Fr 07:00-15:00,9328104399,,
private,Budynek B61 - Wydział HID-Metale (wejście od ul. Powstańców Wielkopolskich),,,defibrillator,yes,53.1688618,,16.7774105,,,24/7,9328104400,,
private,Budynek B1 - Hala Produkcyjna (wejście od ul. Kossaka),,,defibrillator,yes,53.1668101,,16.7771101,,,24/7,9328104401,,
yes,"Po prawej stronie wejścia głównego (za szlabanem, od ul. Lelewela)",,,defibrillator,,53.1533977,,16.7831236,,,24/7,9328104402,,
yes,Przy wejściu do sklepu,,,defibrillator,,53.1471982,,16.7815062,,,24/7,9328104403,,
customers,Wewnątrz budynku,,,defibrillator,yes,53.156407,,16.738084,,,Mo-Fr 07:30-15:30,9328104404,,
permit,Hol główny biurowca,,,defibrillator,yes,53.1472754,,16.7561352,,,Mo-Fr 07:00-15:00,9328104405,,
customers,Punkt Obsługi Klienta (po wejściu do sklepu po lewej stronie),,,defibrillator,yes,53.1466561,,16.7465812,,,Mo-Su 10:00-20:00,9328104406,,
customers,Wewnątrz budynku,,,defibrillator,yes,53.1459129,,16.7438668,,,,9328104407,,
customers,Dyżurka Ochrony,,,defibrillator,yes,53.1444119,,16.7452937,,,Mo-Fr 08:00-21:00; Sa 10:00-21:00,9328104408,,
yes,Wewnątrz budynku,,,defibrillator,yes,53.1431313,,16.743958,,,24/7,9328104409,,
yes,Po lewej stronie wejścia do sklepu (od strony ul. Wysokiej),,,defibrillator,,53.1394405,,16.7412114,,,24/7,9328104410,,
customers,Punkt Obsługi Klienta,,,defibrillator,yes,53.1369046,,16.7680389,,,Mo-Fr 10:00-19:00; Sa 10:00-14:00,9328104411,,
no,Główny Hol - Punkt Pierwszej Pomocy,,,defibrillator,yes,53.1189902,,16.7748841,,,24/7,9328104412,,
no,Punkt Ochrony,,,defibrillator,,53.1176459,,16.777611,,,,9328104413,,
yes,Po lewej stronie wejścia głównego,,,defibrillator,,53.1016213,,16.7541931,,,24/7,9328104414,,
yes,Po lewej strony wejścia głównego (od strony ul. Dzieci Polskich),,,defibrillator,,53.1524132,,16.7290247,,,24/7,9328104415,,
customers,wewnątrz budynku,,,defibrillator,yes,53.1487304,,16.7272557,,,Mo-Fr 08:00-16:00,9328104416,,
customers,Przy wejściu do Biura Obsługi Klienta,,,defibrillator,yes,53.1495885,,16.7251453,,,Mo-Fr 08:00-17:00,9328120917,,
private,Dyżurka Ochrony (przy wjeździe na teren firmy),,,defibrillator,,53.1427608,,16.7232121,,,24/7,9328120918,,
yes,Po prawej stronie wejścia głównego,,,defibrillator,,53.1450316,,16.7193762,,,24/7,9328120919,,
yes,Po prawej stronie wejścia głównego,,,defibrillator,,53.1537277,,16.7182585,,,24/7,9328120920,,
yes,Korytarz przy wejściu głównym,,,defibrillator,,53.1412268,,16.7140141,,,"Mo-Fr 07:30-22:00; Sa,Su 07:00-15:00",9328120921,,
yes,Po prawej stronie wejścia do sklepu,,,defibrillator,,53.1531811,,16.7057,,,24/7,9328120922,,
no,Budynek Kotłowni Rejonowej Krzywa - w sezonie grzewczym (01.10-15.05) dostęp 24h,,,defibrillator,,53.1461409,,16.6990022,,,Mo-Fr 07:00-15:00,9328120923,,
yes,Po lewej stronie wejścia do sklepu (od strony ul. Kamiennej),,,defibrillator,,53.1656935,,16.686502,,,24/7,9328120924,,
customers,Korytarz,,,defibrillator,yes,53.1542415,,16.716196,,,Mo-Fr 07:30-15:30,9328120925,,
yes,Po prawej stronie wejścia głównego,,,defibrillator,,53.1486063,,16.7119474,,,24/7,9328120926,,
no,Hala produkcyjna (na środku zakładu),,,defibrillator,,53.1558464,,16.6854402,,,Mo-Fr 06:00-15:00,9328120927,,
yes,Będąc na zewnątrz na lewo od wejścia,,,defibrillator,,53.6691745,,17.9092965,,,,9328346494,+48 52 336 09 10,
,"Na ścianie budynku B  od strony dziedzińca, przy portalu bramy wjazdowej. W godzinach nocnych brama wjazdowa może być zamknięta.",,,defibrillator,no,52.6067689,,16.5821118,,,24/7,9331892871,,
,"Na ścinie, przy głównym wejściu od strony ulicy Sportowej.",,,defibrillator,no,52.602224,,16.5945968,,,24/7,9331892872,,
,,,,defibrillator,,51.1736602,,22.2811131,,,,9335664681,,
,,,,defibrillator,,51.2648492,,22.6229774,,,,9335664682,,
,,,,defibrillator,,51.2630923,,22.5711792,,,,9335664683,,
,,,,defibrillator,,51.2664465,,22.5601286,,,,9335664684,,
,,,,defibrillator,,52.0193014,,23.1294094,,,,9335664685,,
,,,,defibrillator,,52.0462102,,23.11512,,,,9335664686,,
,,,,defibrillator,,51.4351361,,21.9507888,,,,9335664687,,
,,,,defibrillator,,51.5397718,,21.856429,,,,9335664688,,
,,,,defibrillator,,51.6288487,,21.9306867,,,,9335664689,,
,,,,defibrillator,,52.21192,,20.9841642,,,,9338361479,,
,,,,defibrillator,,49.6771375,,21.7757442,,,9:00-21:00,9338368178,,
,,,,defibrillator,yes,49.6922752,,21.7755692,,,24/7,9338368179,,
,,,,defibrillator,,49.6962901,,21.7543251,,,,9338368180,,
,W przedsionku biblioteki,,,defibrillator,yes,50.8355008,,19.1313507,,,Mo 12:00-15:00; Tu-Fr 10:00-18:00,9338521463,+48 34 362 35 87,
permit,,W recepcji budynku na parterze,,defibrillator,yes,54.3751595,,18.5050864,,W budynku LCS Pomorska Kolej Metropolitalna,24/7,9339651750,+48 58 350 11 00,
,,,,defibrillator,,53.8005088,,22.3501792,,,,9340067757,,
,,,,defibrillator,,53.8078985,,22.3691407,,,,9340067758,,
,,,,defibrillator,,53.8208818,,22.3464264,,,,9340067759,,
,,,,defibrillator,,53.8214599,,22.3528566,,,,9340067760,,
,,,,defibrillator,,53.8227041,,22.3591402,,,,9340067761,,
,,,,defibrillator,,53.8235168,,22.3551571,,,,9340067762,,
,,,,defibrillator,,53.8290114,,22.3675544,,,,9340067763,,
,,,,defibrillator,,53.8326306,,22.357539,,,,9340067764,,
,,,,defibrillator,,53.8287542,,22.3481767,,,,9340067765,,
,,,,defibrillator,,53.8313448,,22.3435615,,,,9340067766,,
,,,,defibrillator,,53.8353649,,22.3409626,,,,9340067767,,
emergency,,,Na wyposażeniu jednostki OSP,defibrillator,yes,52.5038031,,18.7147527,,,,9340403119,,
yes,,,,defibrillator,,53.1321486,,23.1665955,,,24/7,9343982453,,
,,,,defibrillator,yes,51.4089151,,21.1475552,,,7:00-17:00,9344502046,48 330 93 00,
,Na ścianie remizy od strony ulicy 3 maja,,,defibrillator,no,52.3071437,,15.4425774,,,24/7,9347486797,,
,Na ścianie remizy od strony ulicy Adama Mickiewicza,,,defibrillator,no,52.6880131,,15.0678182,,,24/7,9347499702,,
,W punkcie obsługi klienta Auchan Kołbaskowo,,,defibrillator,yes,53.3843956,,14.505036,,,Mo-Sa 7:30-22:00; Su 8:00-20:00,9347595917,+48918838644,
,w zakrystii licheńskiej bazyliki,,,defibrillator,yes,52.3236765,,18.357824,,,Su-Th 5:30-21:30; Fr-Sa 5:30-22:30,9347597812,,
yes,,Słupek wolnostojący na przystanku tramwajowym,,defibrillator,no,54.3577379,,18.5831593,,,24/7,9351139759,+48 58 778 60 00,
private,Na ścianie w punkcie obsługi klienta,,,defibrillator,yes,51.1670408,,17.1656978,,,Mo-Sa 06:00-21:00; Su 09:00-20:00,9353705540,,
,Na ścianie przy głównym wejściu do szkoły,,,defibrillator,no,52.6139131,,16.5877902,,,24/7,9360555014,,
,Na ścianie od strony ulicy Dworcowej,,,defibrillator,no,52.6044631,,16.5851563,,,24/7,9360607611,,
,Na ścianie remizy,,,defibrillator,no,52.3653733,,16.8076979,,,24/7,9361067294,,
,Kantorek ochroniarza przed szatnią,,,defibrillator,yes,52.4039499,,16.9497957,,,,9362634308,,
,Przy wejściu do sklepu,,,defibrillator,yes,52.4425692,,16.758759,,,Mo-Sa 06:30-21:00; Su 09:00-20:00,9362897346,,
,,,,defibrillator,,52.4415612,,16.7614687,,,Mo-Sa 9:00-21:00; Su 9:00-20:00,9362897368,,
,Punkt obsługi klienta sklepu Auchan,,,defibrillator,yes,52.4398789,,16.7651536,,,Mo-Sa 07:00-22:00; Su 09:00-21:00,9362897385,,
,,,,defibrillator,,51.3062046,,22.8825872,,,,9366861918,,
,,,,defibrillator,,51.2437499,,22.5404379,,,,9366879092,,
,,,,defibrillator,,51.2189072,,22.6506792,,,,9366879093,,
,,,,defibrillator,,51.2167889,,22.6981437,,,,9366879094,,
,,,,defibrillator,,51.2565498,,22.5991312,,,,9366885735,,
,,,,defibrillator,,51.2278134,,22.6241986,,,,9366885736,,
,,,,defibrillator,,51.24762,,22.6165914,,,,9366885737,,
,,,,defibrillator,,51.2391158,,22.5091359,,,,9366885738,,
,,,,defibrillator,,51.2051311,,22.5530967,,,,9366885739,,
,,,,defibrillator,,50.480826,,23.0585511,,,,9366885740,,
,,,,defibrillator,,50.8934477,,23.1549021,,,,9366885741,,
,,,,defibrillator,,50.9821772,,23.163665,,,,9366885742,,
,,,,defibrillator,,51.1254605,,23.2420985,,,,9366885743,,
,,,,defibrillator,,50.8051982,,23.8912453,,,,9366885744,,
,,,,defibrillator,,50.5229228,,22.701374,,,,9366885745,,
,,,,defibrillator,,50.5233182,,22.7027117,,,,9366885746,,
,,,,defibrillator,yes,50.9639068,,22.1686686,,,,9366885747,,
,,,,defibrillator,,51.1438036,,23.4742677,,,,9366885748,,
,Na ścianie tuż przy wejściu do Gminnego Ośrodka Informacji,,,defibrillator,no,52.3175052,,16.1280734,,,24/7,9367426100,,
,Wewnątrz Pałuckiego Banku Spółdzielczego,,,defibrillator,yes,52.8084252,,17.2012511,,,Mo-Fr 8:00-17:00,9367514502,,
,,,,defibrillator,no,52.0128494,,16.5264581,,,24/7,9367545197,,
,Przy wejściu do urzędu,,,defibrillator,no,52.3631892,,16.3183928,,,24/7,9367557481,,
,Na ścianie remizy Ochotniczej Straży Pożarnej w Chraplewie,,,defibrillator,no,52.4008614,,16.2827523,,,24/7,9367727720,,
,Przy głównym wejściu do urzędu,,,defibrillator,no,52.4735219,,16.8729357,,,24/7,9367872256,,
yes,Na ścianie przy wejściu do budynku,,,defibrillator,no,50.623631,,19.68095,,,24/7,9367990422,,
yes,Na ścianie przy wejściu do budynku,,,defibrillator,no,50.5681063,,19.5642677,,,24/7,9367990423,,
yes,Na ścianie budynku,,,defibrillator,no,50.4481548,,19.5189025,,,24/7,9367990424,,
,Na ścianie budynku,,,defibrillator,no,50.4857823,,19.3386093,,,24/7,9367990425,,
yes,Na ścianie przy wejściu do budynku,,,defibrillator,no,50.6196371,,19.823927,,,24/7,9367990426,,
yes,Na ścianie budynku,,,defibrillator,no,50.4934448,,19.4172949,,,24/7,9367990427,,
,Na ścianie budynku,,,defibrillator,no,50.4834989,,19.443951,,,24/7,9367990428,,
yes,Na ścianie przy wejściu do budynku,,,defibrillator,no,50.4807656,,19.4314595,,,24/7,9367990429,,
,Na każdym piętrze Urzędu Miejskiego w Obornikach,,,defibrillator,yes,52.6529139,,16.8193258,,,Mo 8:00-16:00; Tu-Fr 7:00-15:00,9368017839,,
,w budynku Starostwa Powiatowego w Obornikach,,,defibrillator,yes,52.6475758,,16.8174044,,,Mo 8:00-17:00; Tu-Fr 7:00-15:00,9368017840,,
,,,,defibrillator,,50.1732962,,19.7406359,,,,9368243442,,
yes,W recepcji po prawej stronie,,,defibrillator,yes,50.4845022,,19.434803,,,24/7,9368300234,,
yes,Na ścianie budynku przy wejściu do sklepu,,,defibrillator,no,50.5126142,,19.5383167,,,24/7,9368366115,,
yes,Na ścianie budynku między bramami garażowymi,,,defibrillator,no,50.5030272,,19.3935813,,,24/7,9368379083,,
yes,Na ogrodzeniu przy bramie od strony kościoła,,,defibrillator,no,50.5612933,,19.5697366,,,24/7,9368558632,,
,,,"przy bocznym, południowym wejściu do kościoła, wewnątrz budynku",defibrillator,yes,51.2048429,,16.211168,,,,9370878310,,
,Przy wejściu do szkoły,,,defibrillator,no,52.8076306,,16.6317974,,,24/7,9371188191,,
,W recepcji,,,defibrillator,yes,52.4636386,,16.6588057,,,Mo 8:30-18:00; Tu-Th 7:30-15:30; Fr 7:30-14:00; Sa-Su off,9371276024,,
,Przy wejściu po lewej stronie,,,defibrillator,yes,52.3529408,,16.8314208,,,,9371362508,,
,Blisko wejścia,,,defibrillator,yes,52.3525205,,16.8332133,,,,9371362512,,
,W ambulatorium,,,defibrillator,yes,52.3542719,,16.834855,,,,9371375017,,
,"Blisko wyjścia, przy kasach",,,defibrillator,yes,52.3565728,,16.8428535,,,,9371375025,,
private,Przy wejściu C do budynku (dostępność dla pracowników),,,defibrillator,no,54.3692074,,18.3608924,,,24/7,9372049447,,
,,,,defibrillator,yes,52.2014375,,21.0339866,,,,9372773552,,
,,,,defibrillator,yes,53.1407428,,23.1750565,,,,9372773553,,
,,,,defibrillator,yes,52.1657283,,22.2684427,,,,9372773554,,
,,,,defibrillator,yes,52.5496116,,19.6891358,,,,9372773555,,
,,,,defibrillator,yes,51.3929038,,21.156644,,,,9372773556,,
,,,,defibrillator,yes,50.9253021,,16.1035305,,,,9372773557,,
,,,,defibrillator,yes,51.6707457,,16.5332206,,,,9372773558,,
,,,,defibrillator,yes,52.1664466,,15.834825,,,,9372773559,,
,,,,defibrillator,yes,52.4050546,,16.9323989,,,,9372773560,,
,,,,defibrillator,yes,52.3989674,,16.9610963,,,,9372773561,,
,,,,defibrillator,yes,52.4114485,,16.8685583,,,,9372773562,,
,,,,defibrillator,yes,53.5955481,,19.5653619,,,,9372773563,,
,,,,defibrillator,yes,53.0106166,,18.607108,,,,9372773564,,
,,,,defibrillator,yes,53.7395372,,20.4835704,,,,9372773565,,
,,,,defibrillator,yes,49.5685999,,19.0903186,,,,9372773566,,
,,,,defibrillator,yes,50.2738461,,18.8697226,,,,9372773567,,
,,,,defibrillator,yes,50.2619261,,19.0260393,,,,9372773568,,
,,,,defibrillator,yes,50.674107,,17.9617719,,,,9372773569,,
,,,,defibrillator,yes,51.0625978,,17.0824081,,,,9372773570,,
,,,,defibrillator,yes,51.1231055,,17.052099,,,,9372773571,,
,,,,defibrillator,yes,50.0914424,,19.9887077,,,,9372773572,,
,,,,defibrillator,yes,49.6170512,,20.6988384,,,,9372773573,,
,,,,defibrillator,yes,50.0195209,,21.9941055,,,,9372773574,,
,,,,defibrillator,yes,51.7380542,,19.4272528,,,,9372773575,,
,,,,defibrillator,yes,50.8393777,,19.1267992,,,,9372773576,,
,,,,defibrillator,yes,51.7504359,,18.0677433,,,,9372773577,,
,,,,defibrillator,yes,53.9281795,,14.4456445,,,,9372773578,,
,,,,defibrillator,yes,54.1737032,,15.5541952,,,,9372773579,,
,,,,defibrillator,yes,54.4353697,,16.3769351,,,,9372773580,,
,,,,defibrillator,yes,54.3885518,,18.6230986,,,,9372773581,,
,,,,defibrillator,yes,54.3546801,,18.6462587,,,,9372773582,,
,,,,defibrillator,yes,50.7079398,,23.2821284,,,,9372773583,,
,przy stanowiskach ochrony,,,defibrillator,yes,50.81632,,19.112051,,,,9373550993,,
,przy stanowiskach ochrony,,,defibrillator,yes,50.8101857,,19.1136876,,,,9373550994,,
yes,W poczekalni na lewej ścianie,,,defibrillator,yes,50.5787695,,19.3328201,,,24/7,9376137077,,
yes,W holu,,,defibrillator,yes,50.4838385,,19.4314866,,,24/7,9376137078,,
yes,W holu,,,defibrillator,yes,50.4885568,,19.4341277,,,24/7,9376137079,,
yes,W portierni,,,defibrillator,yes,50.4910067,,19.449001,,,24/7,9376137080,,
yes,Przy wejściu na lewej ścianie,,,defibrillator,no,50.74973,,19.2691983,,,24/7,9376171910,,
,Defibrylator znajduje się na filarze w środku budynku,,,defibrillator,yes,51.1196635,,20.8613823,,,,9376850188,,
,Ochotnicza Straż Pożarna,,,defibrillator,no,52.2638634,,16.8733341,,,24/7,9377756508,,
,"Boisko orlik przy ul. Nowe Osiedle, na słupku",,,defibrillator,no,52.2680913,,16.8669536,,,24/7,9377843428,,
,"Dworzec PKP Puszczykówko, na słupku",,,defibrillator,no,52.2719238,,16.8639618,,,24/7,9377843465,,
,"Szkoła Podstawowa nr 2, przy wejściu",,,defibrillator,no,52.2742289,,16.8585863,,,24/7,9377843506,,
,Biblioteka Miejska na Rynku,,,defibrillator,no,52.2863977,,16.8569864,,,24/7,9377843553,,
,Szkoła Podstawowa nr 2,,,defibrillator,no,52.2886268,,16.8543128,,,24/7,9377843593,,
,Willa Mimoza,,,defibrillator,no,52.2931297,,16.8616503,,,24/7,9377843622,,
,Straż Miejska,,,defibrillator,no,52.2943399,,16.8701137,,,24/7,9377843641,,
,Urząd Miejski,,,defibrillator,no,52.2930929,,16.8654477,,,24/7,9377843651,,
,Boisko orlik przy ul. Jarosławskiej na słupku,,,defibrillator,yes,52.2798622,,16.8407852,,,24/7,9377843677,,
,"Na ścianie, przy kasie nr 8 i zwrotach",,,defibrillator,yes,50.181996,,18.8850994,,,,9377847376,,
,przy wejściu do świetlicy wiejskiej w Krośnie przy ul. Piaskowej,,,defibrillator,no,52.2242141,,16.8299222,,,24/7,9377953145,,
,na budynku Urzędu Miejskiego,,,defibrillator,no,52.246108,,16.8493816,,,24/7,9377953149,,
yes,Na ścianie budynku przy wejściu do szkoły,,Defibrylator AED iPAD SP1 wraz z kapsułą ROTAID.,defibrillator,no,52.1717138,,20.8135765,,,,9379811379,,
private,,,,defibrillator,yes,52.3627972,,16.817281,,,,9379873533,,
,Na ścianie budynku przy wejściu do biura,,Defibrylator AED iPAD SP1 wraz z kapsułą ROTAID.,defibrillator,no,52.1568407,,20.8049597,,,,9379886695,,
,,,,defibrillator,yes,52.6077101,,16.5814799,,,Mo-Su 7:00-22:00,9379951486,,
,W holu na ścianie,,,defibrillator,yes,52.6075739,,16.5811144,,,Mo-Fr 07:00-20:00; Sa 8:00-15:00,9379951487,,
,ściana remizy,,,defibrillator,no,53.5660722,,19.770761,,,24/7,9382555332,,
yes,Na ścianie budynku od ul. Filaretów,,,defibrillator,no,50.4930701,,19.4936726,,,24/7,9383690579,,
yes,W Punkcie Obsługi Klienta,,,defibrillator,yes,50.7300051,,19.1560365,,,Mo-Sa 07:00-22:00; Su 08:00-21:00,9383730833,,
yes,W recepcji,,,defibrillator,yes,50.0955675,,18.2281586,,,24/7,9383909976,,
yes,Na ścianie budynku,,,defibrillator,no,50.0543765,,21.6227071,,,24/7,9383910786,,
yes,Na ścianie budynku między bramami garażowymi,,,defibrillator,no,50.6802299,,21.94488,,,24/7,9383915823,,
yes,Na ścianie budynku między bramami garażowymi,,,defibrillator,no,53.8233919,,14.8416418,,,24/7,9383945027,,
yes,Na ścianie budynku,,,defibrillator,no,50.665241,,17.8020801,,,24/7,9383997514,,
yes,W recepcji,,,defibrillator,yes,50.2975304,,18.6615271,,,24/7,9384000948,,
yes,W recepcji po prawej stronie,,,defibrillator,yes,50.9064274,,18.9393822,,,24/7,9384016981,,
yes,W recepcji,,,defibrillator,yes,50.3768109,,18.9454768,,,24/7,9384024445,,
yes,W recepcji,,,defibrillator,yes,50.2883346,,18.8718133,,,24/7,9384028527,,
yes,W recepcji,,,defibrillator,yes,50.3107119,,18.9735916,,,24/7,9384057544,,
yes,W recepcji,,,defibrillator,yes,50.0826322,,19.134476,,,24/7,9384080655,,
yes,W recepcji na prawej ścianie,,,defibrillator,yes,50.1728319,,18.8947629,,,24/7,9384085864,,
yes,W recepcji,,,defibrillator,yes,49.7426912,,18.6362987,,,24/7,9384102369,,
yes,Na parterze,,,defibrillator,yes,49.9729733,,18.9468959,,,24/7,9384108932,,
yes,W recepcji,,,defibrillator,yes,50.3524719,,18.9175361,,,24/7,9384111396,,
yes,W recepcji na lewej ścianie,,,defibrillator,yes,49.6856885,,19.2072951,,,24/7,9384112415,,
yes,W recepcji,,,defibrillator,yes,50.4424576,,18.8609947,,,24/7,9384125259,,
yes,W recepcji,,,defibrillator,yes,50.8163041,,19.1035357,,,24/7,9384131296,,
yes,W recepcji na prawej ścianie,,,defibrillator,yes,49.8264893,,19.0707201,,,24/7,9384134139,,
yes,W recepcji,,,defibrillator,yes,49.9501631,,18.6021954,,,24/7,9384142840,,
yes,W recepcji,,,defibrillator,yes,50.2019877,,19.2770366,,,24/7,9384143610,,
yes,W recepcji,,,defibrillator,yes,50.3289958,,19.2106861,,,24/7,9384143923,,
yes,W recepcji na słupie,,,defibrillator,yes,50.2426715,,19.1381689,,,24/7,9384144952,,
yes,W recepcji,,,defibrillator,yes,50.2471721,,19.0228387,,,24/7,9384158012,,
yes,W recepcji,,,defibrillator,yes,50.3059143,,19.0239241,,,24/7,9384158014,,
yes,W recepcji po prawej stronie,,,defibrillator,yes,50.122844,,18.9858512,,,24/7,9384168036,,
yes,W recepcji,,,defibrillator,yes,50.2747308,,19.1257214,,,24/7,9384169470,,
yes,Na lewej ścianie przy pokoju pierwszego kontaktu,,,defibrillator,yes,50.2848157,,18.919092,,,24/7,9384170102,,
yes,W recepcji po lewej stronie,,,defibrillator,yes,50.3021292,,18.7771907,,,24/7,9384186534,,
customers,"Na parterze przy windzie, w pobliżu Biura Obsługi Klienta.",,Budynek Urzędu Gminy Żukowo,defibrillator,yes,54.3427538,indoor,18.35981,,,,9385509817,,
yes,Na ścianie garażu OSP,,,defibrillator,,51.7680396,outdoor,19.3653657,,,,9385745217,,
yes,Na ścianie przy głównym wejściu do urzędu miejskiego,,,defibrillator,,53.972662,outdoor,14.7687687,,,,9386215717,,
yes,Na ścianie budynku,,Po otwarciu kapsuły uruchamia się syrena strażacka,defibrillator,no,50.4410308,,19.2750054,,,24/7,9386569695,,
customers,"parter, przy Biurze Obsługi Interesanta",,,defibrillator,,51.113602,indoor,20.859659,,,,9387995518,,
private,"parter, korytarz obok sekretariatu V Ksiąg Wieczystych",,,defibrillator,,51.1137399,indoor,20.8583582,,,,9388001619,,
permissive,Ściana za linią kas.,,,defibrillator,yes,51.1175549,indoor,20.850847,,,,9388005717,,
yes,Na ścianie pomiędzy oknami,,,defibrillator,,53.8447363,outdoor,14.6158997,,,,9388179118,,
customers,W pomieszczeniu ratowników,,,defibrillator,,51.7639913,indoor,19.4212466,,,,9388918117,,
customers,,,,defibrillator,,50.2885417,indoor,18.9757264,,,,9389613817,+48 500 006 415,
yes,Na ścianie,,Czasoprzestrzeń,defibrillator,no,51.1049406,,17.0866592,,,24/7,9391456973,,
private,W budynku,,,defibrillator,,51.8647999,indoor,16.585761,,,,9391503417,,
private,W budynku,,,defibrillator,,51.8557249,indoor,16.6071675,,,,9391505117,,
customers,W budynku,,,defibrillator,,51.8459319,indoor,16.6000943,,,,9391505917,,
yes,W budynku,,,defibrillator,,51.8503317,indoor,16.5754889,,,,9391508617,,
yes,W budynku,,,defibrillator,,51.8494441,indoor,16.5707366,,,,9391508618,,
yes,W budynku,,,defibrillator,,51.8469574,indoor,16.5721319,,,,9391508619,,
yes,Na ścianie,,W przestrzeni biurowej firmy UPS GBS,defibrillator,yes,51.1180049,,17.0416951,,,,9392754376,,
yes,Na ścianie na przeciwko wejścia,,,defibrillator,,51.7466583,indoor,19.4518434,,,,9393730417,,
yes,Na ścianie budynku obok bram garażowych,,,defibrillator,no,50.4689437,,19.2355702,,,24/7,9394137897,,
yes,Na ścianie budynku obok bram garażowych,,,defibrillator,no,50.4142505,,19.2176708,,,24/7,9394170077,,
yes,Na ścianie budynku przy wjeździe na parking Urzędu Gminy Oleśnica,,,defibrillator,,51.2062674,outdoor,17.3846903,,,24/7,9394182617,,
yes,Na ścianie budynku,,,defibrillator,no,50.5106082,,19.2562391,,,24/7,9394184577,,
yes,Na ścianie budynku OSP Ligota Polska,,,defibrillator,,51.2402219,outdoor,17.5421468,,,24/7,9394202417,,
yes,"Na I piętrze, przy wejściu do auli, na przeciwko bufetu.",,,defibrillator,,51.7551821,indoor,19.4514632,,,,9394505923,,
